,0,1,2
132,1979.0,5.0,13.0
133,1979.0,5.0,14.0
134,1979.0,5.0,15.0
135,1979.0,5.0,16.0
136,1979.0,5.0,17.0
137,1979.0,5.0,18.0
138,1979.0,5.0,19.0
139,1979.0,5.0,20.0
140,1979.0,5.0,21.0
141,1979.0,5.0,22.0
142,1979.0,5.0,23.0
143,1979.0,5.0,24.0
144,1979.0,5.0,25.0
145,1979.0,5.0,26.0
146,1979.0,5.0,27.0
147,1979.0,5.0,28.0
148,1979.0,5.0,29.0
149,1979.0,5.0,30.0
150,1979.0,5.0,31.0
151,1979.0,6.0,1.0
152,1979.0,6.0,2.0
153,1979.0,6.0,3.0
154,1979.0,6.0,4.0
155,1979.0,6.0,5.0
156,1979.0,6.0,6.0
157,1979.0,6.0,7.0
158,1979.0,6.0,8.0
159,1979.0,6.0,9.0
160,1979.0,6.0,10.0
161,1979.0,6.0,11.0
162,1979.0,6.0,12.0
163,1979.0,6.0,13.0
164,1979.0,6.0,14.0
165,1979.0,6.0,15.0
166,1979.0,6.0,16.0
167,1979.0,6.0,17.0
168,1979.0,6.0,18.0
169,1979.0,6.0,19.0
170,1979.0,6.0,20.0
171,1979.0,6.0,21.0
172,1979.0,6.0,22.0
173,1979.0,6.0,23.0
174,1979.0,6.0,24.0
175,1979.0,6.0,25.0
176,1979.0,6.0,26.0
177,1979.0,6.0,27.0
178,1979.0,6.0,28.0
179,1979.0,6.0,29.0
180,1979.0,6.0,30.0
181,1979.0,7.0,1.0
182,1979.0,7.0,2.0
183,1979.0,7.0,3.0
184,1979.0,7.0,4.0
185,1979.0,7.0,5.0
186,1979.0,7.0,6.0
187,1979.0,7.0,7.0
188,1979.0,7.0,8.0
189,1979.0,7.0,9.0
190,1979.0,7.0,10.0
191,1979.0,7.0,11.0
192,1979.0,7.0,12.0
193,1979.0,7.0,13.0
194,1979.0,7.0,14.0
195,1979.0,7.0,15.0
196,1979.0,7.0,16.0
197,1979.0,7.0,17.0
198,1979.0,7.0,18.0
199,1979.0,7.0,19.0
200,1979.0,7.0,20.0
201,1979.0,7.0,21.0
202,1979.0,7.0,22.0
203,1979.0,7.0,23.0
204,1979.0,7.0,24.0
205,1979.0,7.0,25.0
206,1979.0,7.0,26.0
207,1979.0,7.0,27.0
208,1979.0,7.0,28.0
209,1979.0,7.0,29.0
210,1979.0,7.0,30.0
211,1979.0,7.0,31.0
212,1979.0,8.0,1.0
213,1979.0,8.0,2.0
214,1979.0,8.0,3.0
215,1979.0,8.0,4.0
216,1979.0,8.0,5.0
217,1979.0,8.0,6.0
218,1979.0,8.0,7.0
219,1979.0,8.0,8.0
220,1979.0,8.0,9.0
221,1979.0,8.0,10.0
222,1979.0,8.0,11.0
223,1979.0,8.0,12.0
224,1979.0,8.0,13.0
225,1979.0,8.0,14.0
226,1979.0,8.0,15.0
227,1979.0,8.0,16.0
228,1979.0,8.0,17.0
229,1979.0,8.0,18.0
230,1979.0,8.0,19.0
231,1979.0,8.0,20.0
232,1979.0,8.0,21.0
233,1979.0,8.0,22.0
234,1979.0,8.0,23.0
235,1979.0,8.0,24.0
236,1979.0,8.0,25.0
237,1979.0,8.0,26.0
238,1979.0,8.0,27.0
239,1979.0,8.0,28.0
240,1979.0,8.0,29.0
241,1979.0,8.0,30.0
242,1979.0,8.0,31.0
243,1979.0,9.0,1.0
244,1979.0,9.0,2.0
245,1979.0,9.0,3.0
246,1979.0,9.0,4.0
247,1979.0,9.0,5.0
248,1979.0,9.0,6.0
249,1979.0,9.0,7.0
250,1979.0,9.0,8.0
251,1979.0,9.0,9.0
252,1979.0,9.0,10.0
253,1979.0,9.0,11.0
254,1979.0,9.0,12.0
255,1979.0,9.0,13.0
256,1979.0,9.0,14.0
257,1979.0,9.0,15.0
258,1979.0,9.0,16.0
259,1979.0,9.0,17.0
260,1979.0,9.0,18.0
261,1979.0,9.0,19.0
262,1979.0,9.0,20.0
263,1979.0,9.0,21.0
264,1979.0,9.0,22.0
265,1979.0,9.0,23.0
266,1979.0,9.0,24.0
267,1979.0,9.0,25.0
268,1979.0,9.0,26.0
269,1979.0,9.0,27.0
270,1979.0,9.0,28.0
271,1979.0,9.0,29.0
272,1979.0,9.0,30.0
273,1979.0,10.0,1.0
274,1979.0,10.0,2.0
275,1979.0,10.0,3.0
276,1979.0,10.0,4.0
277,1979.0,10.0,5.0
278,1979.0,10.0,6.0
279,1979.0,10.0,7.0
280,1979.0,10.0,8.0
281,1979.0,10.0,9.0
282,1979.0,10.0,10.0
283,1979.0,10.0,11.0
284,1979.0,10.0,12.0
285,1979.0,10.0,13.0
286,1979.0,10.0,14.0
287,1979.0,10.0,15.0
288,1979.0,10.0,16.0
289,1979.0,10.0,17.0
290,1979.0,10.0,18.0
291,1979.0,10.0,19.0
292,1979.0,10.0,20.0
293,1979.0,10.0,21.0
294,1979.0,10.0,22.0
295,1979.0,10.0,23.0
296,1979.0,10.0,24.0
297,1979.0,10.0,25.0
298,1979.0,10.0,26.0
299,1979.0,10.0,27.0
300,1979.0,10.0,28.0
301,1979.0,10.0,29.0
302,1979.0,10.0,30.0
303,1979.0,10.0,31.0
304,1979.0,11.0,1.0
305,1979.0,11.0,2.0
306,1979.0,11.0,3.0
307,1979.0,11.0,4.0
308,1979.0,11.0,5.0
