"","etp_dsI"
"338",1.451818997711
"339",2.86538918194682
"340",3.19504830621377
"341",2.31182357350325
"342",2.30032584705373
"343",2.64814146571908
"344",3.92119528871319
"345",3.63950099069995
"346",2.1906916436733
"347",2.32332129995277
"348",0.793574158475962
"349",3.59877987619123
"350",2.73064516784828
"351",2.67800361635881
"352",2.84677381531426
"353",2.61827931507935
"354",2.68071835732605
"355",3.47367366220478
"356",4.16704629555995
"357",4.19370011596565
"358",2.86771610277589
"359",2.76801277880922
"360",1.79341137799988
"361",3.17961714703152
"362",3.84725852001697
"363",2.48759429803569
"364",2.63456776088284
"365",1.41516999465316
"366",2.23109793948162
"367",3.46959074126309
"368",3.97818125363183
"369",4.6092863764567
"370",3.68882460173497
"371",2.89882738292306
"372",2.33916271212224
"373",0.831307499530918
"374",2.10649553521592
"375",2.16753921427057
"376",1.99347203046456
"377",1.73094072234425
"378",1.45315993871956
"379",1.08198959764754
"380",1.2908173985565
"381",2.64585643294836
"382",2.39203519004359
"383",2.47920855780697
"384",2.15936801313727
"385",2.62071427561513
"386",0.569047992568752
"387",2.43620223605276
"388",2.59976247783744
"389",2.82027398715419
"390",2.60395283739298
"391",1.78541539656625
"392",2.60604801717075
"393",3.36437985085393
"394",3.01893239629268
"395",3.51952585929993
"396",3.45597207270759
"397",2.82844518828749
"398",2.37920712790255
"399",0.492584422142867
"400",2.93617569027005
"401",2.65639791213479
"402",1.42079135355909
"403",2.64855066323639
"404",2.56300747602627
"405",2.32782910493926
"406",2.69563415662677
"407",2.84917551614221
"408",1.76483191112175
"409",2.67209240993158
"410",2.92608637025782
"411",3.56561000539722
"412",4.25713042257877
"413",5.16657752459727
"414",4.36347290647844
"415",2.02800026296142
"416",1.19410395100668
"417",2.83287738381477
"418",3.53912554036513
"419",3.05442041887164
"420",1.33853372098885
"421",2.07844686302254
"422",1.58432623713601
"423",3.03424177884719
"424",3.30135389874372
"425",3.21215776515365
"426",4.29920136216166
"427",4.21900711311469
"428",3.67137044983671
"429",5.01596838943134
"430",4.74268199208519
"431",4.95732968263935
"432",3.9499255832546
"433",3.50369156546577
"434",4.78571094050174
"435",4.60625527829873
"436",4.8952628805514
"437",3.90518912200939
"438",5.92956129257413
"439",5.11410820469861
"440",4.79692691938943
"441",3.54743388312776
"442",4.51954792680576
"443",5.80138452226251
"444",5.50254394411782
"445",6.18292501634891
"446",6.96873864642235
"447",5.85843971921293
"448",5.04681233137248
"449",5.54858848902517
"450",5.7371974256933
"451",7.40909541415883
"452",7.74498099367189
"453",7.36703549333
"454",7.76685215250289
"455",7.7231098348409
"456",5.57736632959226
"457",3.24255726649075
"458",6.34231870746975
"459",5.04490872249691
"460",9.56847882198685
"461",9.21737139549215
"462",8.32441539173724
"463",4.98938475737682
"464",4.74823655592387
"465",3.09449335950384
"466",6.32751231677106
"467",8.07773034670368
"468",7.80400284683145
"469",7.58384700990016
"470",7.52039104976291
"471",6.75689764703312
"472",7.93258466079377
"473",7.67109895508888
"474",6.86250205128114
"475",6.13502923768807
"476",4.87779247453742
"477",8.08962833922941
"478",8.80232347522792
"479",6.2682867539763
"480",8.5959929034864
"481",7.88582763753474
"482",8.85927113176135
"483",8.47106398196619
"484",9.71932179224345
"485",10.0436986411029
"486",9.69594328061394
"487",9.49748452145605
"488",11.3496852244142
"489",10.882628493411
"490",11.3223181927511
"491",9.58944848001332
"492",11.3825256624099
"493",7.98995486487707
"494",10.866301044012
"495",10.8254824205145
"496",10.2099901735976
"497",10.8703829063618
"498",11.4208395067382
"499",11.3606320370794
"500",9.97171909788418
"501",11.5084140080601
