"","deg3_prec_proj"
"99",0.00114959478378296
"100",0.00918841361999512
"101",0.0104437433943457
"102",1.42625389415391
"103",2.8081883030744
"104",0.48515376144526
"105",0.0704611053272169
"106",0.00675618648529053
"107",0.00066530704498291
"108",0
"109",0.00739037990570068
"110",0.00207282532937825
"111",0.00530535469249803
"112",3.51289502043296
"113",27.6300232459088
"114",0.868891447174306
"115",0.00676534883677959
"116",0.00913991611831042
"117",0.00816464424133301
"118",0.002544105052948
"119",0.645089285714286
"120",0.205316333741672
"121",0.0113900899887085
"122",0.00768634304404259
"123",0.00457598268985748
"124",0.00336951017379761
"125",0.0131743550300598
"126",0.0816049533925846
"127",0.0892384100933464
"128",0.228316326530612
"129",0.0241323210755173
"130",0.236781782033492
"131",1.1841096038721
"132",1.99666959898812
"133",0.401466836734694
"134",12.9553848030616
"135",0.58147684530336
"136",0.00913368066658779
"137",0.00118625164031982
"138",0.000901877880096436
"139",0
"140",0.00506138801574707
"141",0.095872163772583
"142",0.136238526324837
"143",3.25669642857143
"144",0.0184681476378927
"145",0.071177146397531
"146",1.48367875084585
"147",6.78497691300451
"148",6.62271952507447
"149",0.0039397441610998
"150",0.0041818797151197
"151",2.88593994841284
"152",6.23676658163265
"153",46.7643331946159
"154",0.194995022549921
"155",0.373204957465736
"156",5.0344387755102
"157",0.344702120946378
"158",10.5149992406368
"159",9.70420445106467
"160",0.0401620305314356
"161",0.0425575144436895
"162",0.588558517092345
"163",0.187025925562698
"164",3.62605232121993
"165",1.35070828637298
"166",1.33706594608268
"167",9.95522561365244
"168",1.81771412674262
"169",2.77997989070659
"170",0.184902045495656
"171",3.97591782102779
"172",0.140034847474676
"173",0.00241756439208984
"174",0.000996232032775879
"175",0.0175382653061224
"176",0.434250458162658
"177",0.804833015617059
"178",1.02654062971777
"179",0.0975550315818008
"180",0.00389540195465088
"181",0.00637900829315186
"182",0.145141908100673
"183",0.700436702796391
"184",0.0214490294456482
"185",2.07826168926395
"186",0.375427148780044
"187",0.0134526087417818
"188",0.110789055926535
"189",1.2601178872342
"190",2.95717782025435
"191",24.8498086734694
"192",13.2665729534869
"193",15.5172193877551
"194",4.2125318877551
"195",2.41804846938776
"196",12.7114968847255
"197",0.0309169158643606
"198",0.981466175342093
"199",0
"200",0.00226974487304688
"201",0.0402116288944167
"202",0.00643616184896352
"203",0.0274133098368742
"204",0.0902423469387755
"205",4.96269132653061
"206",11.6286670918367
"207",2.74822967636342
"208",8.78282490555121
"209",4.4988586881331
"210",0.0333588524740569
"211",2.35491071428571
"212",23.5862794165709
"213",7.46875
"214",13.0730229591837
"215",0.452168367346939
"216",22.8244579081633
"217",1.47847576530612
"218",0.266272060725154
"219",0.0455898812838963
"220",0.108940334952607
"221",3.12825073636308
"222",9.1390110156974
"223",17.356894253468
"224",6.91163730530106
"225",1.82413903061224
"226",0.241965788967755
"227",0.0465561224489796
"228",0.401785714285714
"229",4.22748622967272
"230",10.1181441326531
"231",0.333545918367347
"232",0.0419323979591837
"233",0.215416037306494
"234",0.372880393064258
"235",1.13360969387755
"236",1.10188137755102
"237",3.20446955671116
"238",9.59776557586631
"239",19.6967474489796
"240",19.7295918367347
"241",11.153892888469
"242",10.7771531951671
"243",1.94598803349904
"244",7.69596044141419
"245",0.373863177640097
"246",0.223058977905585
"247",8.98947704081633
"248",1.94849783547071
"249",0.0669642857142857
"250",0.0213647959183673
"251",1.68574617346939
"252",3.80325255102041
"253",0
"254",0.00813137755102041
"255",0
"256",0.128353432733185
"257",0.202487244897959
"258",11.2683490733711
"259",29.9193239795918
"260",1.83099489795918
"261",0.0133054195618143
"262",19.0665594777282
"263",12.5814732142857
"264",0.558875238408848
"265",0.49250637755102
"266",0.42171556122449
"267",0.39030612244898
"268",4.01252437367731
"269",2.83561862244898
"270",28.3547512755102
"271",3.1764716712796
"272",0.00127551020408163
"273",0.183035714285714
"274",0
"275",0.00370317697525024
"276",0.00568204874895057
"277",0.0366709183673469
"278",0.000159438775510204
"279",0.0157844387755102
"280",0
"281",4.08034949035061
"282",3.79670886604153
"283",0
"284",0
"285",0.00226300954818726
"286",0.00206089019775391
"287",0
"288",0.00434327125549316
"289",0.006053626537323
"290",0.00653698979591837
"291",0.000478316326530612
"292",0.000478316326530612
"293",0.0409757653061225
"294",0.6407912385707
"295",15.9365021391791
"296",5.83179209183673
"297",0
"298",0.0098727467108746
"299",0.025031887755102
"300",0.976838617908711
"301",12.2224170918367
"302",4.07797661606146
"303",2.08651397027531
"304",0.0287181613396625
"305",14.9734888641658
"306",2.32398834885383
"307",0.272527007424102
"308",0
"309",3.02869003281301
"310",0.912001081875392
"311",3.25885533556646
"312",19.1443081802251
"313",0.0310612795304279
"314",0.00421011447906494
"315",0.00642919540405273
"316",0.010809063911438
"317",0.00913635686952241
"318",0.0830676020408163
"319",0.426179846938776
"320",0.538265306122449
"321",19.3440838516975
"322",10.0409757653061
"323",0.00358948403760335
"324",0.0908801020408163
"325",0.0162627551020408
"326",0.0149872448979592
"327",0.00274026515532513
"328",0.0755739795918367
"329",12.1900843211583
"330",1.42100290741239
"331",0.00829081632653061
"332",0.0443780367329185
"333",0.693903907221191
"334",17.3385538981885
"335",2.77280421508476
"336",0.566064434392112
"337",0.00640844568914297
"338",0.00663298368453979
"339",0.0535116475455615
"340",0.219695279792863
"341",0.00299018993973732
"342",0.010052502155304
"343",0.00822174549102783
"344",0.0121545672882348
"345",0.00115215413424433
"346",0.0111776993144304
"347",0.00550615624049488
"348",0.00113630294799805
"349",0.00148677825927734
"350",0.88573525876415
"351",0.0276741811207363
"352",0.299318420643709
"353",0.0626203446905604
"354",0.0277049346845977
"355",0.00635820627212524
"356",0.00395405049226722
"357",0.0181166398890164
"358",0.00105470418930054
