"","ref_prec_proj"
"218",0.117515683174133
"219",0.0020630955696106
"220",0.00355130434036255
"221",0.792632102966309
"222",13.4641066789627
"223",21.4871557354927
"224",6.23242811858654
"225",1.8515625
"226",0.0083879828453064
"227",0
"228",0.5390625
"229",6.00251811742783
"230",11.375
"231",0.046875
"232",0.0078125
"233",0.0028841495513916
"234",0.00744671351276338
"235",0.09375
"236",0.28125
"237",5.01936113834381
"238",5.45745944976807
"239",22.4765625
"240",29.859375
"241",11.7309018075466
"242",8.91140061616898
"243",1.03080946207047
"244",6.28237628936768
"245",0.267836391925812
"246",0.10236382484436
"247",4.3671875
"248",0.323657274246216
"249",0
"250",0
"251",0.515625
"252",1.078125
"253",0
"254",0
"255",0
"256",0.040502667427063
"257",0.1171875
"258",7.97243070602417
"259",25.7109375
"260",2.1015625
"261",0.0338730216026306
"262",22.9482558965683
"263",11.203125
"264",0.031770646572113
"265",0.1015625
"266",0.046875
"267",0.3828125
"268",4.20815575122833
"269",3.4140625
"270",34.234375
"271",3.97685432434082
"272",0
"273",0
"274",0
"275",0.00370317697525024
"276",0.0029715895652771
"277",0
"278",0
"279",0.046875
"280",0
"281",4.86000508069992
"282",5.32987213134766
"283",0
"284",0
"285",0.00226300954818726
"286",0.00206089019775391
"287",0
"288",0.00434327125549316
"289",0.006053626537323
"290",0
"291",0
"292",0.0078125
"293",0
"294",0.103960871696472
"295",7.20483762025833
"296",4.7578125
"297",0
"298",0.00780004262924194
"299",0.0234375
"300",1.58748912811279
"301",12.53125
"302",4.28731971979141
"303",2.21119505167007
"304",0.0386033654212952
"305",22.5909954234958
"306",2.37740033864975
"307",0.00785863399505615
"308",0
"309",4.04160457849503
"310",2.27695643901825
"311",4.05541145801544
"312",24.1352201700211
"313",0.00969648361206055
"314",0.00421011447906494
"315",0.00642919540405273
"316",0.010809063911438
"317",0.000367224216461182
"318",0.0234375
"319",0.3828125
"320",0.7421875
"321",16.2973682880402
"322",7.3203125
"323",0.000879024853929877
"324",0.015625
"325",0.0078125
"326",0
"327",0.000189244747161865
"328",0.0703125
"329",5.30216979980469
"330",0.792654693126678
"331",0
"332",0.0700476795900613
"333",0.570817172527313
"334",19.1885219812393
"335",2.06186671508476
"336",0.475662648677826
"337",0.00608956813812256
"338",0.00663298368453979
"339",0.0104631781578064
"340",0.0117871165275574
"341",0.00299018993973732
"342",0.010052502155304
"343",0.00822174549102783
"344",0.0121545672882348
"345",0.000992715358734131
"346",0.0111776993144304
"347",0.00502783991396427
"348",0.00113630294799805
"349",0.00148677825927734
"350",0.0100975036621094
"351",0.00870096683502197
"352",0.160766124725342
"353",0.0638958548661321
"354",0.03727126121521
"355",0.00635820627212524
"356",0.00124359130859375
"357",0.00647760927677155
"358",0.00105470418930054
"359",0.00148869305849075
"360",0.00472104549407959
"361",0.0372443795204163
"362",0.00577779766172171
"363",0.0106426551938057
"364",0.00635433197021484
"365",0.00973167642951012
"366",0.00793024152517319
"367",0.00356429815292358
"368",0
"369",0.00798019021749496
"370",0.0544944962020963
"371",0.0544865727424622
"372",0.0567633807659149
"373",0.0355288221035153
"374",3.8940309882164
"375",2.01910692453384
"376",0.0167028307914734
"377",0.159145653247833
"378",0.774945631623268
"379",0.114761497126892
"380",0.0390625
"381",0.0575577616691589
"382",0.00404578447341919
"383",0.00490697100758553
"384",0.00352811813354492
"385",0.00903526321053505
"386",0.00402326136827469
"387",0.0182958459481597
"388",0.00238072872161865
"389",0.0247410535812378
"390",0.0140086933970451
"391",0.00270527601242065
"392",0.0136722498573363
"393",0.00867396593093872
"394",0.0041193834040314
"395",0.00535590574145317
"396",0.000911712646484375
"397",0
"398",0
"399",0.00218629837036133
"400",0.1171875
"401",0.00549230352044106
"402",0.0541454553604126
"403",13.2609024047852
"404",6.44902324676514
"405",0.0400425791740417
"406",0.015625
"407",0.0122618365567178
"408",0.00910625956021249
"409",0.152658104896545
"410",0.0703125
"411",0.103093393146992
"412",0.00778986162913498
"413",0.00327837467193604
"414",0.0218249559402466
"415",0.00333219766616821
"416",1.8482591509819
"417",43.7123618125916
"418",8.515625
"419",0.0118588209152222
"420",0.00112199783325195
"421",0.112786293029785
"422",0.55742972693406
"423",6.47153341770172
"424",0.0331751368939877
"425",0.175113141536713
"426",0.0859375
"427",0.169275272637606
"428",0.00496423244476318
"429",0.00735504180192947
"430",1.14900004118681
"431",0.00914957374334335
"432",0.101668730378151
"433",0.00308753550052643
"434",3.43775549158454
"435",0.190518319606781
"436",0.000421822071075439
"437",0.273608505725861
"438",0.268696144223213
"439",0.00707541406154633
"440",0.00113936886191368
"441",0.00193949462845922
"442",0.0732867904007435
"443",0.15625
"444",0.00268574873916805
"445",0.00052381306886673
"446",0.00360339879989624
"447",0.00104762241244316
"448",0.0415274163242429
"449",0.481514554470778
"450",6.48835650831461
"451",0.000280868262052536
"452",0.0048786997795105
"453",0.00052381306886673
"454",0.00425335019826889
"455",0.0033535361289978
"456",0.0112795566674322
"457",0.0383052639663219
"458",0.0146559178829193
"459",4.7924513220787
"460",26.4495522379875
"461",6.15948891639709
"462",0.00891115888953209
"463",0.108838737010956
"464",16.7806394076906
"465",1.55584758520126
"466",0.82317852973938
"467",31.2753393650055
"468",0.046875
"469",0.0859375
"470",0.00251531600952148
"471",0.408371567726135
"472",0.9375
"473",0.03125
"474",0.00298029184341431
"475",0.00734567642211914
"476",0.00187986134551466
"477",0.984855353832245
"478",3.20234799385071
"479",1.09062361717224
"480",11.5376604199409
"481",24.5435812473297
"482",15.6681351661682
"483",5.19625395536423
"484",0.0186158418655396
"485",0.00641008466482162
"486",0.00592098943889141
"487",0.0679556131362915
"488",14.4711177349091
"489",0.00404542312026024
"490",0.0275343060493469
"491",0.00302565097808838
"492",0.00331735610961914
"493",3.01898717880249
"494",10.7421875
"495",5.11791570186324
"496",0
