"","deg2_etp_proj"
"211",8.43062674067914
"212",5.69118285834789
"213",6.17918223902583
"214",5.4332995648752
"215",8.28985492264386
"216",9.48865368455648
"217",10.5304597760364
"218",10.9646047329903
"219",11.0879822923243
"220",9.30485677632969
"221",7.89879809752107
"222",6.13122506022453
"223",5.40640918202698
"224",7.28570579873864
"225",8.14800604939461
"226",7.69549686316168
"227",8.19980602373136
"228",6.49479546525516
"229",6.66812118269503
"230",5.57314781203866
"231",8.54218277841806
"232",9.358503792556
"233",8.46648312330246
"234",7.99595023401082
"235",8.47415691759205
"236",7.48765789567115
"237",6.38620992473327
"238",5.22522781038657
"239",4.27917540109716
"240",4.07952755959704
"241",4.32496519843582
"242",5.52327645447105
"243",6.10396090511233
"244",4.48509814202786
"245",6.28792015591636
"246",6.97352941571851
"247",5.61881865175441
"248",6.65931303646299
"249",6.80678087017848
"250",6.69677509519737
"251",6.01332778285956
"252",7.51689740713686
"253",6.76730632632738
"254",6.95246534916107
"255",6.94800983648282
"256",6.16960130669875
"257",5.45497770518064
"258",4.39739004246891
"259",3.61993633024395
"260",5.51415397186065
"261",5.48383025352843
"262",3.56561574349995
"263",5.08942877925467
"264",5.18477424441837
"265",5.871418002313
"266",6.1421354961209
"267",6.45559274666011
"268",6.10458351746202
"269",5.52221513465978
"270",2.82607075530803
"271",2.57740576069802
"272",5.10072358126853
"273",5.29887200375786
"274",5.69663628268521
"275",5.7812798204564
"276",5.45851947230985
"277",4.45893707889132
"278",4.61730287097162
"279",4.40643132050755
"280",4.37970636220562
"281",3.3433338028891
"282",4.93161729857326
"283",5.17723810597439
"284",5.02258523239288
"285",5.63066641756333
"286",5.74780390584841
"287",5.27754980325699
"288",5.21334789170767
"289",4.82218643614091
"290",5.69423868535087
"291",6.4036199659179
"292",4.79867349802749
"293",5.90855934578925
"294",4.70450003420934
"295",2.84581785003073
"296",4.67178203195333
"297",3.97114376931451
"298",4.30150513110217
"299",4.2289175852167
"300",3.87606230622623
"301",2.89895650933497
"302",2.29515016455203
"303",5.53879181784228
"304",4.13380904250778
"305",1.826772318976
"306",3.28092168795876
"307",2.97233165773563
"308",3.47590134297119
"309",4.52268791496754
"310",3.41620327388344
"311",2.65501170921838
"312",3.93236276062205
"313",3.97663066759706
"314",3.07152885489631
"315",3.02354140932322
"316",2.79887832859065
"317",2.42367353884736
"318",2.8300290248543
"319",3.06275751504465
"320",3.45640121336794
"321",3.53688211679459
"322",3.23448201585561
"323",2.32379694073927
"324",1.96817710654344
"325",1.99781264599878
"326",2.08620598390698
"327",1.90975733788218
"328",1.78185995949199
"329",2.56392634470016
"330",2.86495508521795
"331",1.99845638197905
"332",1.63321930018719
"333",1.82020745855756
"334",1.62261440232396
"335",0.868884190599492
"336",2.20603776540724
"337",1.73193033197254
"338",1.91853374327417
"339",2.58381909142016
"340",2.45478748793714
"341",2.48146398325916
"342",2.20291219530627
"343",2.48085736691486
"344",2.66503099643509
"345",3.12545804512221
"346",2.53185724178096
"347",1.99237291640951
"348",1.84541885876446
"349",1.61198287004605
"350",3.82196153044701
"351",2.18606898262165
"352",2.42977664606646
"353",1.67600941527635
"354",1.02238213942386
"355",0.800010040916968
"356",-0.0521425598440692
"357",1.38800718450686
"358",2.0737013182987
"359",2.34040938436985
"360",2.44664428435266
"361",2.28950060137315
"362",1.99514272210188
"363",2.36423813122616
"364",1.77086422622146
"365",1.68840366916265
"366",0.979568836465478
"367",1.71820684729842
"368",2.1661193327792
"369",2.57749378050677
"370",3.44296587733552
"371",3.47089862592518
"372",3.89379852831364
"373",2.93566117763519
"374",0.901982031911612
"375",0.418466097223572
"376",1.58384197550826
"377",1.39418175987899
"378",1.19388706833124
"379",1.17170295402408
"380",1.33676199600101
"381",0.728694474718941
"382",1.99779197597876
"383",2.06059425719082
"384",2.03757868644549
"385",1.4610942205026
"386",2.02258461798541
"387",2.29871329744346
"388",2.8864363377355
"389",3.01586847823113
"390",2.25094670883846
"391",2.50436596391723
"392",2.65464255587198
"393",2.44098008673638
"394",3.09809354364872
"395",2.37797530449927
"396",2.89055006724317
"397",3.53821876998991
"398",2.63579169000033
"399",3.35483253552578
"400",1.85688869615551
"401",3.37160178355203
"402",2.80396148297936
"403",1.24305506929755
"404",-0.0263853071402991
"405",1.36187457395717
"406",0.654481969604831
"407",0.526877298211912
"408",2.4060304942599
"409",2.59924253820674
"410",1.79206580414437
"411",2.56613354992121
"412",3.62105299087008
"413",3.4427295121354
"414",4.58216736039147
"415",4.2831485936977
"416",2.44309817973059
"417",1.70700260996993
"418",3.40504738596501
"419",3.24327260955237
"420",3.73139773200266
"421",2.95438610748155
"422",2.29961096048355
"423",1.50001768697053
"424",3.31165736706695
"425",3.01832587181125
"426",3.23539176744409
"427",3.53708092049113
"428",4.30617502223235
"429",3.63489121766062
"430",4.86367775201798
"431",4.63392161456868
"432",4.76590049945749
"433",2.3522905474389
"434",4.41526884103892
"435",4.87842459819163
"436",4.94518682849128
"437",3.37211409084266
"438",4.2316207890684
"439",6.31918881803751
"440",4.33756453074515
"441",3.26896604287438
"442",4.61098950068466
"443",3.72357742747292
"444",4.70301742452197
"445",4.89887368290569
"446",6.52503710638266
"447",7.08817604914308
"448",5.65840812532697
"449",6.04520509475798
"450",6.75996598314494
"451",5.65517929991474
"452",6.80726797918789
"453",7.25457808625652
"454",6.49960047976114
"455",6.64945769076236
"456",6.30450934516266
"457",5.16889033436775
"458",5.75023451664485
"459",4.57221903749916
"460",3.56096851018025
"461",7.74835863959976
"462",6.43522382769734
"463",5.33502188005485
"464",2.08251802507322
"465",2.89983686266467
"466",5.59330020008609
"467",3.66202054965252
"468",5.10915067106485
"469",4.01248187378536
"470",5.71418848165311
"471",6.58495950344019
"472",4.03234864383005
"473",6.1727247652458
"474",6.90510392085067
"475",6.20803441157565
"476",7.39357212635223
"477",5.76493091751094
"478",6.62795132547617
"479",6.04378293604241
"480",2.53188799987081
"481",2.08494129568338
"482",1.8818316527456
"483",4.85203146830201
"484",6.4786448592355
"485",7.16639939462417
"486",7.20024989430793
"487",6.48044630251825
"488",8.0477014008211
"489",7.074979646469
"490",7.15812393919041
"491",7.65027728363173
"492",6.90529728699476
"493",6.85504996701144
"494",7.03834146524663
"495",8.48960000270978
"496",6.76478179847531
"497",7.42665320729837
"498",5.12293825158849
"499",7.76916242226958
"500",6.59856355261058
"501",7.5034983164724
"502",7.77130021129735
"503",8.36954833770345
"504",8.96814682918601
"505",4.79230653911829
"506",5.40026615515351
"507",3.94164278725162
"508",5.34016209691763
"509",7.16310077111993
"510",6.52149871527392
"511",6.30487081232714
"512",7.8310416783276
"513",8.07801655963049
"514",7.51558159063163
"515",7.26192614516913
"516",5.83415224090219
"517",7.69251323166303
"518",7.58723471998295
"519",6.2929896817659
"520",5.99643633096828
"521",6.51014401096385
"522",8.05332849801518
"523",8.14700063828728
"524",8.01468161283294
"525",4.84695381377242
"526",5.48207568695303
"527",6.23119201662019
"528",7.23759983251104
"529",8.72634572654148
"530",8.51769186691381
"531",8.39593333256897
"532",8.29539027475053
"533",7.98817483279854
"534",7.61819853827357
"535",8.73024777953513
"536",9.67010189189576
"537",10.0544222836196
"538",9.95049938036129
"539",5.91994337128475
"540",7.05777759596705
"541",9.63922802020854
"542",8.62578867085278
"543",6.9249332004739
"544",8.67683504278073
"545",7.48560198664665
"546",8.61607237361779
"547",10.1362854695506
"548",10.5576017220202
"549",9.85755807078531
