"","IPSL_prec_proj"
"244",0
"245",0
"246",0
"247",0
"248",9.10389499040321
"249",11.2619229184929
"250",0
"251",0
"252",0
"253",0
"254",0
"255",0
"256",0
"257",0.835710034152726
"258",0.142692613280815
"259",0
"260",0
"261",0
"262",7.57901652832516
"263",0
"264",0
"265",3.72756148863118
"266",0.302104240290646
"267",0
"268",0
"269",0
"270",0
"271",0
"272",11.7540432256646
"273",3.03913329844363
"274",2.49195254582446
"275",0
"276",0
"277",0
"278",0
"279",0
"280",0
"281",0
"282",0
"283",0
"284",0
"285",0
"286",0
"287",0
"288",0
"289",0
"290",0
"291",0
"292",0
"293",0
"294",9.30676542338915
"295",0
"296",0
"297",0
"298",0
"299",0
"300",0
"301",0
"302",0
"303",2.49599852395477
"304",2.27746495511383
"305",0
"306",0.849775551614584
"307",0.0929178440856049
"308",0
"309",0
"310",0
"311",0
"312",0
"313",0
"314",0
"315",0
"316",0
"317",0
"318",27.459510602057
"319",13.1547596538439
"320",0.606094999966444
"321",0.648455488772015
"322",0
"323",0
"324",10.8979103970341
"325",1.41567106766161
"326",0.392769698009943
"327",0
"328",0
"329",0.000279722001117477
"330",8.20264300926965e-05
"331",0
"332",0
"333",0
"334",0
"335",0.685209715811652
"336",0
"337",0
"338",0
"339",0
"340",0
"341",0
"342",0
"343",0
"344",0
"345",0
"346",9.30100650293753
"347",34.0005353791639
"348",15.8880851813592
"349",33.7252800818533
"350",0.157741555995017
"351",0.219738490159216
"352",0.200410977413412
"353",0.203612557925226
"354",0.575421609028126
"355",0.182783105628914
"356",0.809827815828612
"357",0.162085098054376
"358",0
"359",0
"360",0
"361",0
"362",0
"363",0.332505874212075
"364",0.921436912904028
"365",13.2306347950362
"366",3.64686493412592
"367",24.123553885147
"368",0
"369",0
"370",0.0988162923931668
"371",0
"372",0
"373",6.47179088097971e-05
"374",0.000403210265176313
"375",0.244978105001792
"376",0.0972053157966002
"377",0.0604254239533475
"378",9.1889436589554
"379",9.20500024221838
"380",1.52656284626573
"381",0.000342616668369544
"382",0.28278591344133
"383",32.6702982420102
"384",46.3481352198869
"385",3.11966250592377
"386",0
"387",0.00283971957060203
"388",0
"389",0.0111286531989663
"390",0.0384009524623252
"391",0.0109886194366027
"392",0.00655543672678505
"393",0
"394",0
"395",0.423431174567668
"396",0.22872052340972
"397",1.70918137882836
"398",0.020755828700203
"399",0
"400",0
"401",0
"402",0
"403",0
"404",19.8807727429084
"405",4.37695198343135
"406",0.0427287801585408
"407",0
"408",0
"409",4.82723335153423
"410",0.151376548274129
"411",0.0508677999278007
"412",0
"413",0
"414",0
"415",0
"416",0
"417",0
"418",0
"419",0
"420",0
"421",0
"422",0
"423",0
"424",0
"425",0
"426",0
"427",0
"428",0
"429",0
"430",8.56740371091291
"431",0.31829115414439
"432",0
"433",0
"434",0
"435",0
"436",0.124283906188793
"437",0
"438",0
"439",0
"440",0
"441",8.81153537193313
"442",0
"443",0
"444",0
"445",0
"446",0
"447",0
"448",0
"449",0
"450",0
"451",0.147800335525972
"452",0
"453",0
"454",21.2206155993044
"455",48.0819522636011
"456",2.49961703957524
"457",4.09358472097665
"458",0.000759246709947092
"459",0
"460",0
"461",0.331944488607405
"462",4.88260702695698
"463",0
"464",0
"465",0.2838706222974
"466",47.9264941532165
"467",0
"468",54.6101713553071
"469",29.4976285658777
"470",0.050524084826975
"471",0
"472",0
"473",1.63576023624046
"474",12.4992642668076
"475",0
"476",0.0690763499733293
"477",14.3331504659727
"478",0
"479",0
"480",1.72355012182379
"481",0.126776114939275
"482",0
"483",0
"484",0
"485",0
"486",3.42788480338641
"487",8.8611945102457
"488",0
"489",0
"490",0.0395110021145229
"491",0
"492",18.750004528556
"493",0
"494",0.338517406817118
"495",0.206522690859856
"496",0
"497",0
"498",5.78636572754476
"499",3.22754676744808
"500",0
"501",0
"502",3.19950595439877
"503",1.46172096719965
"504",0
"505",0
"506",0
"507",1.49707093441975
"508",7.38447924959473
"509",0
"510",3.84680388378911
"511",0.272017632596544
"512",0
"513",0
"514",0
"515",0.00874375132298155
"516",0
"517",9.33849660214037
"518",12.0910422992893
"519",8.2353813922964
"520",8.82075255503878
"521",6.53386450721882
"522",7.48072343412787
"523",9.39011588343419
"524",3.34754258801695
"525",0.198167549569916
"526",0
"527",0
"528",0
"529",0
"530",0
"531",0
"532",0
"533",59.0626208577305
"534",6.83995167491958
"535",0
"536",0
"537",0
"538",0
"539",0
"540",0
"541",0
"542",23.3277227380313
"543",1.17350009531947
"544",0.416992043028586
"545",7.85681622801349
"546",12.4652084195986
"547",11.0695582407061
"548",7.82212810008787
"549",8.91858435352333
"550",11.3555433927104
"551",17.0482395333238
"552",12.5073449453339
"553",11.0540320747532
"554",0
"555",0
"556",0
"557",0
"558",6.96023635100573
"559",17.2325089806691
"560",4.58662725577597
"561",3.21793631883338
"562",7.74037398514338
"563",5.3718267736258
"564",8.88809372554533
"565",0.0533375214217813
"566",0
"567",0
"568",0
"569",0
"570",0
"571",17.0752915437333
"572",0
"573",0
"574",0
"575",0
"576",12.3545047244988
"577",6.18338381173089
"578",1.07012920125271
"579",4.98083245474845
"580",3.09873394144233
"581",0.258311615652929
"582",0
"583",0
"584",0
"585",0
"586",11.2258036097046
"587",14.0670119435526
"588",4.31042499258183
"589",8.48742347443476
"590",7.18549490557052
"591",4.15810427512042
"592",4.90514430566691
"593",1.83024021680467
"594",2.19205121538835
"595",8.11113568488508
"596",0.579567085878807
"597",0
"598",0
"599",0
"600",0
"601",0
"602",0
"603",0
"604",0
"605",0
"606",0
"607",0
"608",0
"609",0
"610",0
"611",0
"612",0
"613",0
"614",0
"615",0
"616",0
"617",0
"618",0
"619",0
"620",14.2450182465836
"621",5.65708069188986
"622",0
"623",0
"624",0
"625",0
"626",0
"627",0
"628",0
"629",0
"630",0
"631",0
"632",0
"633",0
"634",0
"635",0
"636",0.48370634431194
"637",2.1796648070449
"638",0
"639",8.80430889083073
"640",0
"641",0
"642",2.49266704486217
"643",6.92331159370951
"644",1.57165432028705
"645",0
"646",0.533108141098637
"647",0.283807776213507
"648",0
"649",0
"650",0
"651",0
"652",0
"653",0
"654",0.488722253066953
"655",0
"656",0
"657",0
"658",0
"659",0
"660",0
"661",0
"662",0
"663",0
"664",0
"665",0
"666",0
"667",0
"668",0
"669",0
"670",0
"671",0
"672",2.55800168815767
"673",2.16817479667952
"674",1.58827569975983
"675",4.19313437305391
"676",1.84480250027264
"677",0
"678",0
"679",2.50304237852106
"680",26.5664624748752
"681",0.0211223124324533
"682",0
"683",0
"684",1.77344263647683
"685",0
"686",0
"687",0
"688",0
"689",0
"690",0
"691",0
"692",0
"693",0
"694",0
"695",0
"696",0
"697",0
"698",0
"699",0
"700",0
"701",0
"702",0
"703",0
"704",0
"705",0
"706",0
"707",5.14668136020191
"708",0
"709",0.00250463365603082
"710",0
"711",0
"712",0
"713",0
"714",0
"715",0
"716",0
"717",0
"718",0
"719",0
"720",0
"721",0
"722",0
"723",0
"724",0
"725",0
"726",0
"727",0.0297006238270114
"728",4.79519585496746
"729",0.182074097665463
"730",0
"731",0
"732",0
"733",0
"734",2.67101477220422
"735",23.7364365602843
"736",0.798609471530654
"737",0.475996694149217
"738",0
"739",0.038684032688252
"740",2.64940408669645
"741",0.299327643915603
"742",0.980081949819578
"743",0.447235652245581
"744",1.0244896657241
"745",0.516039517606259
"746",0.35226753425377
"747",0.253404141403735
"748",0
"749",0
"750",0
"751",0
"752",0
"753",0
"754",0
"755",0
"756",6.96161805535667
"757",0.183370332251798
"758",0.180298331997619
"759",0.0142024561000653
"760",0
"761",0
"762",0
"763",0.015772562278471
"764",0.278621087090869
"765",0.0251700640774288
"766",0
"767",0
"768",0
"769",0
"770",0
"771",0
"772",0
"773",0
"774",0
"775",0
"776",0.146339266393625
"777",0
"778",0
"779",0
"780",0
"781",0
"782",0
"783",0.0132507992134379
"784",0.000641196029604885
"785",0
"786",0
"787",0
"788",0
"789",0
"790",0.856428505358053
"791",18.8862642971799
"792",0.170037776570098
"793",0
"794",0
"795",0.150611833760195
"796",0
"797",0
"798",0
"799",0
"800",0
"801",0
"802",0
"803",0
"804",0
"805",0
"806",0
"807",0
"808",0
"809",0
"810",0
"811",0
"812",0
"813",0
"814",0
"815",0
"816",0
"817",0
"818",4.73845539090689
"819",26.4530652202666
"820",0
