"","etp_ds3"
"861",6.70428065677078
"862",8.09008343725768
"863",8.07248331229539
"864",7.59570110357421
"865",7.58118100048032
"866",9.87730957208414
"867",8.76233919071938
"868",8.42220814831083
"869",9.10178003214902
"870",9.37427137862405
"871",8.48668353821795
"872",8.84949777033658
"873",7.88063044685675
"874",8.68679669357731
"875",8.1944418252694
"876",7.33291570836515
"877",7.82900341363402
"878",8.25500087116041
"879",8.67388993527163
"880",9.82773342177019
"881",10.9629414818381
"882",10.9919816880259
"883",10.1060602104462
"884",11.4862888934272
"885",10.5564618722825
"886",6.89025140478453
"887",8.77653213673443
"888",7.02078572522573
"889",7.28384311614257
"890",8.29756324732518
"891",8.48233620506883
"892",7.69459030759553
"893",10.6329584392632
"894",10.729985334882
"895",10.6811705613098
"896",11.5207123485685
"897",9.86759100177316
"898",10.6934646524317
"899",11.4776830296419
"900",12.2555374067419
"901",10.7730146538086
"902",12.4131910458344
"903",10.2600376752326
"904",12.0031469478279
"905",13.0935605121562
"906",13.486392882592
"907",13.9149986475864
"908",13.7597556145963
"909",13.1193781035121
"910",13.2104990141802
"911",13.1459550357903
"912",11.5465299399244
"913",10.7232071497222
"914",12.3774721180087
"915",13.5910339516992
"916",11.9932137198634
"917",9.96934427539476
"918",12.0001336274571
"919",11.9020337609815
"920",11.1917255991557
"921",12.6721787708235
"922",13.1343409250465
"923",12.1678977737418
"924",12.5891398796989
"925",11.6645471844038
"926",11.3468129399326
"927",11.979373904676
"928",12.0139734426446
"929",12.0393464371549
"930",12.6607812759633
"931",13.8246283225491
"932",13.8190923964741
"933",13.843407052176
"934",13.756568996098
"935",13.5818074082409
"936",13.3576566759895
"937",14.1286157926073
"938",15.3180257919511
"939",12.4259114711647
"940",12.8536082808437
"941",14.6944200017407
"942",14.6064964699617
"943",12.2016250544507
"944",12.5499126913042
"945",12.2642980686623
"946",10.8961067980353
"947",7.9567970678043
"948",7.93440346050289
"949",7.35812741390066
"950",8.77741153978007
"951",8.24940625952971
"952",11.5233275819114
"953",10.0998680331077
"954",8.05230291905834
"955",7.63503201277053
"956",6.22303852844589
"957",7.56266019522448
"958",9.15270691673474
"959",10.0267523559569
"960",11.2118237022827
"961",10.3684036392244
"962",10.0757440939257
"963",10.1239919722898
"964",10.8780138436488
"965",10.6433204163505
"966",11.0054443507971
"967",10.7700054290378
"968",10.4982530797161
"969",10.8602024115127
"970",11.6526577920504
"971",8.80455097135984
"972",10.3539292757152
"973",9.71788124887211
"974",10.0086594015704
"975",10.3471480011662
"976",9.8433673091177
"977",10.9394811780933
"978",11.2059895368234
"979",10.6471079330735
"980",12.7990378923856
"981",10.5664409258332
"982",10.3405226410418
"983",10.5542944322718
"984",10.3338972809174
"985",7.17078147579317
"986",3.663945884685
"987",3.18430228893289
"988",6.09931784375108
"989",5.56444342727554
"990",4.57607610118603
"991",5.1527283312304
"992",6.43432289950604
"993",8.19420215330172
"994",8.45073609731906
"995",7.7695117441345
"996",5.14578747776673
"997",5.00041742625258
"998",7.23727757387847
"999",8.7032497901341
"1000",8.49932207156476
"1001",7.38308312992368
"1002",7.12831821368657
"1003",7.38713196111082
"1004",7.0031122313374
"1005",5.00689181160948
"1006",4.1061959923159
"1007",5.43363889608018
"1008",5.31044451252762
"1009",4.88102074400364
"1010",6.27534032001805
