"","pr_ds1"
"455",0.0898256419016457
"456",0.026471111833787
"457",0.0517957386805656
"458",0.0526383998644215
"459",5.08501098985157
"460",32.7436790275524
"461",5.85857395663126
"462",0
"463",0.175861392980574
"464",16.9910551226693
"465",1.39921097166608
"466",0.986306991576708
"467",37.2697807782788
"468",0.0399984821065836
"469",0.0484250939451422
"470",0
"471",0.91468079094896
"472",1.06298915930759
"473",0.0374704985550161
"474",0
"475",0
"476",0
"477",1.00063223170226
"478",3.38241406787083
"479",0.957656511325608
"480",11.3341863293266
"481",29.1223425899317
"482",15.5281110413772
"483",4.13954514156531
"484",0.00544937356849359
"485",0
"486",0
"487",0
"488",14.1224837801879
"489",0
"490",0
"491",0
"492",0
"493",3.11428840587406
"494",11.8737508213709
"495",6.43146385690394
"496",0
"497",0
"498",0.296806233147584
"499",0.404578775273734
"500",0.396880736550438
"501",0
"502",0
"503",0
"504",0
"505",25.1659995674675
"506",2.3641501114594
"507",0.27313579322301
"508",0
"509",1.01861056990844
"510",6.28135210179965
"511",20.5743458819248
"512",3.24968332224263
"513",0.481559162506698
"514",0
"515",2.19259381991165
"516",35.420692798513
"517",1.20698610572557
"518",0
"519",0.384299449466156
"520",1.22603224930019
"521",0.0481265186498407
"522",0
"523",0
"524",0
"525",5.83341178523387
"526",6.89665321660318
"527",15.8951597939548
"528",3.35401686547295
"529",3.67989736068078
"530",19.6217609407668
"531",0
"532",0.654464892267482
"533",2.74036286844854
"534",11.0279769139153
"535",0
"536",0
"537",0
"538",0
"539",3.54323779817427
"540",4.38071562994492
"541",0.636594026401246
"542",0
"543",4.90983342323935
"544",0.19991416282276
"545",6.59880545216593
"546",0.106985660318335
"547",1.54112742439012
"548",0
"549",0.0225798220526656
"550",0
"551",15.3298005762934
"552",0.0536170618745097
"553",0.0601512176264768
"554",0
"555",0
"556",0.0176792052386903
"557",7.56449030133467
"558",1.57286432701357
"559",0
"560",0
"561",0.706332548954944
"562",1.24776605572176
"563",0.519768217444383
"564",0
"565",8.61110296959603
"566",4.80069189240374
"567",0.490747099209407
"568",0.448759098358803
"569",5.36012025667796
"570",0.301801095381689
"571",0
"572",0
"573",0
"574",0
"575",0.129570902816975
"576",0.312298095594341
"577",0.0879213795723373
"578",0
"579",0
"580",0
"581",0.244985203036675
"582",0.231948189987033
"583",0.0442152020721833
"584",16.249726289726
"585",7.16254142115875
"586",0.198051956057963
"587",0.211088969107605
"588",0.575135859970755
"589",8.98075302268768
"590",4.06972086079055
"591",1.51878720486804
"592",10.027366079524
"593",0.548128658200548
"594",0
"595",5.99367565042696
"596",7.73269345852978
"597",22.4058103826427
"598",0.192837150838106
"599",6.1578242611862
"600",19.2531184489384
"601",0
"602",0
"603",0
"604",0
"605",0
"606",0
"607",0.0833262412211103
"608",0
"609",0.485111854070067
"610",0
"611",0.170401584649504
"612",0.190553528410454
"613",0.603439196541671
"614",0
"615",0
"616",0
"617",2.66901826148093
"618",5.22550383515892
"619",0
"620",0
"621",0.242276850730227
"622",4.5510034598742
"623",0.539624707965329
"624",0
"625",0
"626",0.0682984029273565
"627",0.0310706876271378
"628",0
"629",0
"630",0.758289432497853
"631",24.5878144244843
"632",20.9848358868192
"633",2.0990180735775
"634",0
"635",0
"636",0
"637",0
"638",0
"639",0
"640",0.124504104058674
