"","IPSL_etp_proj"
"121",20.5975025892258
"122",11.4896589366253
"123",13.4329602587968
"124",14.7592319990508
"125",3.88803819078021
"126",4.78456349810585
"127",8.54030513437465
"128",15.8910537720658
"129",24.5528237428516
"130",5.94201410422102
"131",15.1605869177729
"132",4.15895592595916
"133",4.40944422734901
"134",9.34515192057006
"135",29.0408526780084
"136",29.6751706628129
"137",49.267167923972
"138",58.8088354561478
"139",56.9057126995176
"140",54.4239010196179
"141",22.6815929636359
"142",27.0864518824965
"143",73.2272572349757
"144",66.9632223434746
"145",60.4716420639306
"146",26.6840739641339
"147",43.3242588769644
"148",35.2586415829137
"149",22.7451353566721
"150",9.01744861039333
"151",17.7573703695089
"152",5.95820165472105
"153",21.1464197491296
"154",12.0773882372305
"155",13.0216387333348
"156",15.4943380039185
"157",12.1669072541408
"158",23.6455351114273
"159",27.0437129074708
"160",27.1213153610006
"161",22.4006027565338
"162",11.8551804916933
"163",17.5951747223735
"164",14.8576335050166
"165",18.7718716915697
"166",18.763035768643
"167",11.819908831967
"168",12.0902230264619
"169",19.5174041436985
"170",19.0340957487933
"171",23.3646263950504
"172",13.4078931296244
"173",15.1942382217385
"174",17.4918357515708
"175",17.48331123963
"176",21.2999133509584
"177",30.2191619994119
"178",31.2287214910612
"179",42.0746044255793
"180",43.250888120383
"181",55.2165845874697
"182",57.0922624319792
"183",39.1346315154806
"184",30.7868060190231
"185",14.3437500810251
"186",28.6919297650456
"187",39.6544492105022
"188",34.7769702784717
"189",12.6131446450017
"190",10.4907201603055
"191",25.7420906564221
"192",28.6278926068917
"193",16.1217452841811
"194",26.2053217738867
"195",12.6793733215891
"196",24.4302616920322
"197",36.008603638038
"198",53.2594975084066
"199",55.6746032088995
"200",50.3071118146181
"201",26.7683761194348
"202",23.6114108702168
"203",13.8389586936682
"204",22.2131071495824
"205",21.5426334762014
"206",26.5363283688203
"207",29.9787527183071
"208",15.1584172272123
"209",22.1175941987894
"210",28.8499752059579
"211",24.9618664383888
"212",16.0141105880029
"213",15.9514558617957
"214",25.2071389695629
"215",26.7779745627195
"216",62.2221152298152
"217",53.8383086677641
"218",62.0067294221371
"219",49.7328990604728
"220",34.7091729054227
"221",15.6527123181149
"222",9.91198248811997
"223",7.75139924371615
"224",12.7322637126781
"225",19.8736190213822
"226",25.6604253081605
"227",20.1666582142934
"228",22.7986325626262
"229",14.7091981489211
"230",23.7760948948562
"231",32.3740241583437
"232",25.9358173934743
"233",38.1364894565195
"234",35.8381075784564
"235",33.286091638729
"236",28.2587512629107
"237",31.3452910631895
"238",34.6836168318987
"239",31.5333774778992
"240",43.033211841248
"241",33.3620293531567
"242",36.2022663466632
"243",16.6830388479866
"244",8.29226119094528
"245",12.6452621771023
"246",18.4610864380375
"247",20.9057063329965
"248",23.6960084293969
"249",21.9072331674397
"250",26.391344727017
