"","pr_ds3"
"122",0.1442977529368
"123",0
"124",0
"125",0.172072007040285
"126",0.237539891712784
"127",0.238531829359337
"128",0.279201272868011
"129",0.192902697617898
"130",0.28217708580767
"131",0.851937145981213
"132",1.62216231282681
"133",0.299040025799071
"134",13.0309389895837
"135",0.323838466962896
"136",0.159176817635096
"137",0
"138",0
"139",0
"140",0
"141",0.23952376700589
"142",0.256386706997291
"143",2.70514524801506
"144",0.178023632919603
"145",0.233572141126572
"146",1.08998526476797
"147",7.30389216964066
"148",7.18597558190667
"149",0
"150",0
"151",2.57897119615404
"152",6.53674072238306
"153",58.7649594714118
"154",0.184205230418405
"155",0.242740948772759
"156",4.18905271919951
"157",0.220435023750397
"158",10.4540435271468
"159",9.11754685289031
"160",0.142585638608389
"161",0.144127104971723
"162",0.365423536395748
"163",0.183434497236738
"164",3.09940828185715
"165",1.03005575192548
"166",1.00252740794948
"167",9.31830017809156
"168",1.40686655676752
"169",2.37558101488151
"170",0.181122297691737
"171",3.3124298658207
"172",0.175727165420068
"173",0.0647415872600252
"174",0
"175",0.125629508611715
"176",0.281776317561892
"177",0.585158766419953
"178",0.731634340733461
"179",0.165707634058398
"180",0.0809269840750314
"181",0.0955709145267038
"182",0.176497898601735
"183",0.26391985100427
"184",0.135234025540537
"185",0.868660727437083
"186",0.219675928812328
"187",0.121901093444991
"188",0.181581837110768
"189",0.49933137848025
"190",1.97815397757446
"191",48.9004891857229
"192",12.163032661672
"193",20.3131141926259
"194",3.31689364631841
"195",1.17353040666679
"196",12.0519248942092
"197",0.145392449994287
"198",0.401481848815459
"199",0
"200",0.0660297589493703
"201",0.150471662221161
"202",0.0971399338389775
"203",0.14221794235249
"204",0.175232821827175
"205",4.22209516358954
"206",10.6924886805457
"207",1.39429355247539
"208",8.28079655149838
"209",3.48355529751274
"210",0.147932056107724
"211",1.05007733170803
"212",44.5721880679408
"213",6.810252570372
"214",16.1914894357274
"215",0.48573285776351
"216",42.2352487436866
"217",1.23202356528109
"218",0.437461269414341
"219",0.294154991502747
"220",0.359019938346942
"221",2.3842329738151
"222",10.2083618093781
"223",19.1928417775597
"224",6.46270237877686
"225",1.41634908954228
"226",0.429918833734784
"227",0.298680452910481
"228",0.478190422083953
"229",3.81087094856677
"230",10.6077337786107
"231",0.457071602181191
"232",0.286612555823189
"233",0.419359423783403
"234",0.470647986404395
"235",0.766827569007464
"236",0.674219576141939
"237",2.51735696355929
"238",10.3414857991223
"239",26.5904433708399
"240",27.7885592785376
"241",12.9254047575537
"242",12.2154101455847
"243",1.47779093096267
"244",7.57619487743416
"245",0.244216025953732
"246",0.202355446784133
"247",10.02727961659
"248",1.53294144458217
"249",0.125272422884391
"250",0.114137096405779
"251",1.26383772134904
"252",3.52288432973732
"253",0
"254",0.100681910244122
"255",0
"256",0.136407749363004
"257",0.184415198568591
"258",12.1286631024253
"259",33.6811011480133
"260",1.47912069993554
"261",0.107641489293255
"262",17.149030503801
"263",13.2137842922859
"264",0.425465298366639
"265",0.371657116919042
"266",0.268136356907789
"267",0.262156274169275
"268",3.84996407569643
"269",2.68114371309485
"270",32.137184492758
"271",3.22855213245108
"272",0
"273",0.169464991722305
"274",0
"275",0.11707926232664
"276",0.132048300432329
"277",0.166263244673905
"278",0
"279",0.159313334124835
"280",0
"281",2.97697374278074
"282",2.91650952100383
"283",0
"284",0
"285",0.101575615717176
"286",0.099437181702078
"287",0
"288",0.123494564371936
"289",0.133652125943653
"290",0.136859776966301
"291",0
"292",0
"293",0.1726785467192
"294",0.209566533479648
"295",16.8232805296928
"296",5.65123118568493
"297",0
"298",0.148086555545568
"299",0.162520985147482
"300",0.354825054965333
"301",13.0175912766756
"302",2.95681900218844
"303",1.42776859826146
"304",0.164124810658806
"305",15.1782980254681
"306",2.18381924399176
"307",0.106033256492456
"308",0.0236515283905478
"309",2.63845070478641
"310",0.446690299907405
"311",3.4722725979469
"312",20.5522206987396
"313",0.0908856484221051
"314",0.0645766449314957
"315",0.073612060271705
"316",0.0815844855718896
"317",0.0799900005118527
"318",0.0967320936422405
"319",0.194161383693085
"320",0.29541118500543
"321",22.5965733046492
"322",9.89865704594809
"323",0.0613876748114218
"324",0.0977950836822651
"325",0.085570698221982
"326",0.0845077081819573
"327",0.0563384721213049
"328",0.0956691036022159
"329",14.0399724486452
"330",0.69220452400466
"331",0.0773325254117911
"332",0.0932773760121605
"333",0.350403724149587
"334",17.0591025534638
"335",2.47019735848795
"336",0.418808618784485
"337",0.100383878493071
"338",0.10250220760725
"339",0.155460435461712
"340",0.17537272913499
"341",0.0787769215284503
"342",0.116906845583664
"343",0.110975524063964
"344",0.12410916457187
"345",0.059288293678008
"346",0.121567169634856
"347",0.0952998886190427
"348",0.0588646278551723
"349",0.0647959493748721
"350",0.690629532175291
"351",0.14190312913097
"352",0.180033053186183
"353",0.156307767107384
"354",0.142326794953806
"355",0.0995365468473997
"356",0.0885212354536715
"357",0.131735149382913
"358",0.0567462987409938
"359",0.0660669468433792
"360",0.107162531658442
"361",0.160968091158577
"362",0.0978418835560569
"363",0.119025174697842
"364",0.106315200012771
"365",0.121990835457692
"366",0.112246521532471
"367",0.0715233320560717
"368",0.0562980683015614
"369",0.0948923415397387
"370",0.125696944950027
"371",0.136319221988057
"372",0.1511904098413
"373",0.14198443640834
"374",4.67527721298868
"375",2.1893693228385
"376",0.138797753296931
"377",0.156501548360315
"378",0.703725853769515
"379",0.145525195421017
"380",0.139859981000734
"381",0.158980079669189
"382",0.0754181669700162
"383",0.0814374572915668
"384",0.124280641344956
"385",0.0984331005524155
"386",0.0782507741801576
"387",0.143754815914679
"388",0.121802110036082
"389",0.13738144969186
"390",0.153668941150174
"391",0.062317358623112
"392",0.119677654628476
"393",0.101265707762557
"394",0.094538265638471
"395",0.0846241404029759
"396",0.0474461707698693
"397",0
"398",0
"399",0.0623424040915116
"400",0.174458179191569
"401",0.142281454499176
"402",0.166916759341789
"403",13.6169348431911
"404",6.72841891585813
"405",0.110607491130101
"406",0.153342203612186
"407",0.135242795972715
"408",0.107590923190189
"409",0.847534352316951
"410",0.326266706847772
"411",0.144795261115769
"412",0.129209660092891
"413",0.0683755399713353
"414",0.579319478396892
"415",0.0854694249641692
"416",3.03740634934399
"417",59.3762102176477
"418",10.2066466553428
"419",0.13323175067944
"420",0
"421",0.218706254040814
"422",1.02500909944843
"423",9.24113473240664
"424",0.172949895221613
"425",0.173452656544932
"426",0.277383043121463
"427",0.4404249844982
"428",0.135161492189318
"429",0.0858295529036025
"430",0.537221684387914
"431",0.0922467157375167
"432",0.146391527148668
"433",0.144787236440189
"434",2.78230014245498
"435",0.141979727700352
"436",0.0926477884146364
"437",0.376431610682222
"438",0.717384542057645
"439",0.0846263348722436
"440",0
"441",0.103877823373986
"442",0.135562564866438
"443",0.150402253919864
"444",0.105883186759584
"445",0
"446",0.0677812824332188
"447",0
"448",0.152006544628343
"449",0.286382111314334
"450",4.23062076455483
"451",0
"452",0.0750005906213723
"453",0.128744329355404
"454",0.0717920092044152
"455",0.416427469317208
"456",0.100669241957029
"457",0.130817693176791
"458",0.144934710426085
"459",8.81134391934167
"460",33.8085954865003
"461",3.56811763039802
