"","deg4_etp_proj"
"95",6.62222408408437
"96",4.82505763732587
"97",5.32669889816819
"98",5.36287794222881
"99",5.17208977699758
"100",6.7361045529048
"101",7.01885572832525
"102",8.26008829345494
"103",5.33592640426884
"104",6.88577631266786
"105",6.95939743433171
"106",8.10964003489152
"107",8.33652704555748
"108",8.93800249805977
"109",8.7547931009361
"110",9.25368772188552
"111",7.67185108248938
"112",7.15382740182179
"113",5.45437648956359
"114",6.92224865642385
"115",9.48037547183893
"116",10.7156393380123
"117",8.50530110270268
"118",8.78821543996642
"119",6.61446066796463
"120",6.94964779278746
"121",8.38826396636755
"122",7.75247593292029
"123",7.99452995237992
"124",9.18743741665723
"125",9.53500370220745
"126",9.17447304115113
"127",9.22201905535275
"128",9.98776193926352
"129",10.8426091619077
"130",10.9956114596751
"131",8.4966501736565
"132",8.51665187563309
"133",8.21028460040148
"134",5.4340631216477
"135",8.83735175428059
"136",11.0034184945494
"137",11.922435541616
"138",13.2176789764436
"139",13.3511722494595
"140",13.7785449001915
"141",12.298747858274
"142",10.4006205380831
"143",10.9732584839422
"144",14.2109316828097
"145",13.4238375888241
"146",11.5636081704841
"147",9.92163430597564
"148",11.5322490810434
"149",9.3172746988755
"150",8.46699972328174
"151",8.18093968125996
"152",8.61173808917024
"153",6.52365107530797
"154",7.65108919639663
"155",8.84492388744565
"156",8.72890095814759
"157",10.1029123432775
"158",9.5359332012848
"159",10.1892541094488
"160",8.61465575354192
"161",8.68671278852725
"162",8.95798471720277
"163",9.20466898823729
"164",8.82275150165272
"165",9.17574199385342
"166",8.91615240287214
"167",7.16877288157753
"168",9.37360454372383
"169",9.19032404619488
"170",10.1651400696777
"171",10.9710176500814
"172",11.2015816657836
"173",11.314399228076
"174",10.8503579546503
"175",11.7744652629386
"176",10.7418895360761
"177",9.17451932605494
"178",8.85694668690902
"179",10.5223884651276
"180",11.0892420614133
"181",11.5553239902573
"182",10.4292159768304
"183",11.2455050964828
"184",11.577925570953
"185",11.6566610052538
"186",13.0920237862494
"187",13.954794415977
"188",14.3700728617884
