"","pr_dsI"
"1706",24.9239743209195
"1707",0.457781913717267
"1708",0.967981603814374
"1709",0.545144874350334
"1710",0.604551687580819
"1711",0.929541901135825
"1712",19.5325490703687
"1713",0
"1714",0.863146051054695
"1715",0
"1716",0.782772127272274
"1717",0.660463982385981
"1718",0.691914648213885
"1719",0.51369420852243
"1720",0.887607680031954
"1721",0.733848869317757
"1722",0
"1723",0.884113161606631
"1724",0.510199690097107
"1725",0
"1726",3.55622101815021
"1727",9.00432973772702
"1728",12.7822248289563
"1729",6.40908383197999
"1730",1.06233360129809
"1731",0
"1732",0
"1733",2.0138559024116
"1734",0.475254505843881
"1735",0.688420129788562
"1736",0.436225294220679
"1737",0
"1738",0
"1739",0
"1740",0
"1741",0.392127458787958
"1742",0
"1743",3.86401153040579
"1744",0
"1745",0
"1746",0
"1747",0
"1748",0
"1749",0
"1750",0
"1751",0
"1752",0.39890497042133
"1753",0
"1754",0
"1755",0
"1756",0
"1757",0
"1758",0
"1759",0
"1760",0
"1761",0
"1762",0
"1763",0
"1764",0
"1765",0.369858491992593
"1766",0
"1767",12.0227668701502
"1768",0.389240440556355
"1769",0.191732679917967
"1770",9.08136199234984
"1771",1.38240873419845
"1772",0.0219453067375987
"1773",0.306079278182297
"1774",0.222918115808239
"1775",0.2621886647071
"1776",0.247173454834006
"1777",0.0288754036021035
"1778",0.14784206644277
"1779",0.292219084453287
"1780",0.210212938223314
"1781",0.0242553390257669
"1782",0.254103551698511
"1783",0.239088341825417
"1784",0.177872486188958
"1785",0.142066985722349
"1786",0.124741743561087
"1787",0.436268744947033
"1788",0.121276695128835
"1789",0.249483487122174
"1790",0.619286303050547
"1791",0.0900912592385629
"1792",0.120121678984751
"1793",0.321094488055391
"1794",0.146687050298686
"1795",0.112036565976162
"1796",0.0565957910601229
"1797",0.254564953762258
"1798",0.292310791733904
"1799",0.212430064863678
"1800",0.224719407459097
"1801",0.089536638909484
"1802",1.81598272999287
"1803",29.8400987164226
"1804",0.324789768593226
"1805",0.158005833369678
"1806",0.201896342639033
"1807",0.296699842660839
"1808",0.0553020416793872
"1809",0.273876777840775
"1810",0.0149227731515807
"1811",0.100948171319516
"1812",0.0412570787131936
"1813",0.282654879694646
"1814",0.158883643555065
"1815",0.190484810229
"1816",0.0517908009378388
"1817",0.0904144490948711
"1818",2.9785648666982
"1819",15.7095750751004
"1820",74.5859720483656
"1821",1.99588863659063
"1822",0.29055517136313
"1823",0.347612833413291
"1824",0.304600134329323
"1825",0.316889476924743
"1826",30.515573654078
"1827",0.368680277862581
"1828",0
"1829",0
"1830",0.201502259722709
"1831",0.222427494386221
"1832",0
"1833",0.305353424349028
"1834",0.311553493878957
"1835",0
"1836",0.119351338451143
"1837",0.317753563408887
"1838",0.307678450422751
"1839",0
"1840",31.3779136485214
"1841",0.273578068008139
"1842",0.126326416672314
"1843",0.128651442746037
"1844",0.341778832837364
"1845",1.8084143978915
"1846",0.20227726841395
"1847",0.252652833344627
"1848",0.192202155427814
"1849",0.291403267906686
"1850",0.129426451437278
"1851",0.321628606865093
"1852",0.276678102773104
"1853",0.18290205113292
"1854",0
"1855",0.0829259299628071
"1856",8.85289388755038
"1857",98.3469617236311
"1858",0.17592697291175
"1859",0
"1860",3.49275595872215
"1861",10.1994822903374
"1862",0.38910590784472
"1863",0
"1864",0
"1865",0
"1866",0
"1867",0
"1868",3.58759442874195
"1869",3.30307901868256
"1870",0
"1871",0
"1872",0
"1873",0.994776518449323
"1874",0.396907530057146
"1875",0
"1876",0
"1877",0
"1878",0
"1879",0
"1880",0
"1881",0
"1882",0
"1883",0
"1884",0
"1885",0
"1886",0
"1887",1.23525340003957
"1888",0
"1889",0.164719341005276
"1890",10.1908405503264
"1891",1.98115641467885
"1892",0.117519062003764
"1893",14.6655459919698
"1894",3.29812657810565
"1895",0.0722453250023142
"1896",0.300540552009627
"1897",31.1191212804969
"1898",0.74393136017383
"1899",0.0481635500015428
"1900",0.210956349006758
"1901",0.214809433006881
"1902",0.136784482004382
"1903",0.304393636009751
"1904",0.22540541400722
"1905",6.39475244532984
"1906",0.680933436771811
"1907",0.144490650004628
"1908",0.260083170008331
"1909",0.759680841024334
"1910",0.187837845006017
"1911",0.314026346010059
"1912",0.0809147640025919
"1913",6.51287355170863
"1914",2.83953875334096
"1915",0.0279348590008948
"1916",0.208066536006665
"1917",6.59162095596115
"1918",0
"1919",0
"1920",0
"1921",0
"1922",0
"1923",0
"1924",0
"1925",0
"1926",0
"1927",0
"1928",0
"1929",3.40648310378573
"1930",0.450933073337314
"1931",0
"1932",2.99135613056453
"1933",0.387899417924571
"1934",0
"1935",15.2276815268916
"1936",1.22923709292722
"1937",0
"1938",0
"1939",0.3733531897524
"1940",0
"1941",0
"1942",0.4751767869576
"1943",0.397596903372686
"1944",0
"1945",0
"1946",0
"1947",0
"1948",0
"1949",2.002220759418
"1950",1.39208131388565
"1951",0
"1952",0
"1953",0
"1954",0.241083866562585
"1955",5.39010031224235
"1956",36.9166477149467
"1957",0
"1958",0
"1959",0
"1960",0.312290071876429
"1961",4.16529646356724
"1962",2.64714885754648
"1963",0
"1964",0
"1965",0
"1966",0
"1967",0
"1968",0.27160081169709
"1969",0.329583007452649
"1970",0
"1971",0
"1972",12.1867326094487
"1973",20.2405732904757
"1974",0
"1975",0
"1976",0
"1977",0
"1978",0
"1979",0.340236715357836
"1980",70.0015509840263
"1981",0.338129986470171
"1982",0
"1983",0.28756849316622
"1984",0
"1985",0
"1986",0
"1987",0
"1988",0.318116062037357
"1989",0.281248306503226
"1990",0
"1991",0
"1992",0.283355035390891
"1993",0
"1994",0
"1995",0
"1996",0
"1997",0
"1998",0
"1999",0
"2000",0
"2001",0
"2002",0
"2003",0
"2004",0
"2005",49.0771850736238
"2006",0.339183350914003
"2007",0
"2008",0
"2009",0.0829925372402166
"2010",0
"2011",0.0431342792235336
"2012",0.160525039135682
"2013",0.218401413790044
"2014",0.974696603675493
"2015",0.0333062156029817
"2016",0.0889985761194428
"2017",0.139230901291153
"2018",0.132678858877452
"2019",0.170353102756234
"2020",0.0960966220676193
"2021",0.0414962686201083
"2022",0
"2023",0.146328947239329
"2024",0
"2025",0.0420422721545834
"2026",0.0944586114641939
"2027",0.108108699826072
"2028",0.17526713456651
"2029",0.0819005301712664
"2030",0.0507783287061852
"2031",4.9469847294743
"2032",0.0546003534475109
"2033",0.12612681646375
"2034",0.0764404948265153
"2035",0.104832678619221
"2036",7.59943778209942
"2037",0.221131431462419
"2038",0.187279212324963
"2039",16.5547766943704
"2040",2.00648503853192
"2041",30.5120682772746
"2042",17.9229031463195
"2043",2.07910821212957
"2044",0.648397496229214
"2045",28.997018420738
"2046",17.0804559586023
"2047",14.3010845752067
"2048",6.34063236404279
"2049",0.0661303733091186
"2050",0.0316624211601235
"2051",0.0220434577697062
"2052",0.078955657829675
"2053",0.161676708616053
"2054",5.01812655304489
"2055",0.576009101321949
"2056",0.131417052950365
"2057",0.0296584704537865
"2058",0.382606907190542
"2059",0.0985943747517769
"2060",0.199501278198162
"2061",0.0589161507663057
"2062",0.0877730409375575
"2063",1.20559176505619
"2064",24.6836107301919
"2065",4.27807604958539
"2066",3.26921206545112
"2067",4.17721053069976
"2068",1.86415556137043
"2069",3.17018046509069
"2070",0.459631485248656
"2071",0
"2072",0.555628429626302
"2073",0.880618643181308
"2074",0.552133911200979
"2075",0
"2076",0.576595540178238
"2077",0
"2078",0
"2079",0.6325078349834
"2080",2.55535925709193
"2081",11.7853524653605
"2082",8.67304939100644
"2083",5.67290528371202
"2084",8.01048869756527
"2085",5.48886064664503
"2086",3.13860078934032
"2087",2.04633436777636
"2088",0.712881758765821
"2089",0.957498048538407
"2090",0.831695385226791
"2091",0
"2092",0.590573613879528
"2093",0
"2094",0.440309321590654
"2095",1.94889897168207
"2096",3.90493717259293
"2097",5.58088296517853
"2098",3.61434037722399
"2099",0.705892721915176
"2100",0
"2101",18.1889047920755
"2102",1.00210350579145
"2103",0
"2104",0.397936754473706
"2105",0
"2106",0
"2107",0
"2108",0
"2109",0
"2110",0
"2111",3.7793617932706
"2112",16.1033676408921
"2113",1.80552909913033
"2114",0
"2115",0
"2116",0
"2117",0.403746050159453
"2118",0
"2119",0.390191026892709
"2120",0
"2121",0
"2122",0
"2123",0
"2124",0
"2125",0
"2126",0
"2127",0
"2128",0
"2129",0
"2130",0
"2131",0
"2132",0.37653526297143
"2133",0.401945618141281
"2134",0.139756953434181
"2135",0.345349827081158
"2136",0.307234294326381
"2137",0.378845295259598
"2138",3.12185916478196
"2139",0.271428793859773
"2140",0.344194810937074
"2141",0.0277203874580194
"2142",5.04820867831071
"2143",15.1074073382422
"2144",12.6543568745858
"2145",0.671577033937265
"2146",0.016170226017178
"2147",0.189422647629799
"2148",0.0115501614408414
"2149",0.0600608394923753
"2150",0.347659859369326
"2151",0.0127051775849255
"2152",0.269118761571605
"2153",0.190577663773883
"2154",0.333799665640317
"2155",12.304726693559
"2156",6.24259049027029
"2157",0.331489633352148
"2158",0.363830085386504
"2159",3.00681955683118
"2160",1.40979911704388
"2161",2.49628430324569
"2162",20.4585023600982
"2163",4.65621503865272
"2164",0.841159384462133
"2165",0.0193118240785162
"2166",0.35990217600871
"2167",0.998166330379473
"2168",0.341468162115581
"2169",0.233497509312968
"2170",0.365169037121033
"2171",0.320400717666291
"2172",0.0825141574263872
"2173",0.133427148178839
"2174",0.0395014583424194
"2175",1.86454628760208
"2176",61.8699723941333
"2177",106.248234311204
"2178",98.3326687454944
"2179",11.932409483273
"2180",17.0178478846334
"2181",82.5015376140751
"2182",2.14912137707726
"2183",0.339712541744807
"2184",0.34497940285713
"2185",0.949856500866446
"2186",0.106215032431839
"2187",0.323034148222452
"2188",6.95341847586411
"2189",1.74092995914228
"2190",0.287921740806968
"2191",0.149227731515807
"2192",0.310744805627033
"2193",0.676952996019223
"2194",0.63607128755625
"2195",0.144926625262102
"2196",0.224752520459944
"2197",0.194527181501538
"2198",0
"2199",0.120126347142384
"2200",0.106951199391284
"2201",0.316978554717646
"2202",0.292178276597928
"2203",0.308453459113993
"2204",0.0767258604328776
"2205",0.217002433547532
"2206",0.0961010777139072
"2207",0.310778485187716
"2208",0.33945380676364
"2209",0
"2210",0.159651790395685
"2211",0.138726555732173
"2212",0.102301147243837
"2213",7.40199403817824
"2214",0.299153354819098
"2215",0.313878519952681
"2216",1.31591005123168
"2217",0.344878867602328
"2218",0.327828676395022
"2219",0.289078241832963
"2220",0.151901703483273
"2221",0.261952937639521
"2222",13.010002516746
"2223",1.05426711706866
"2224",0
"2225",0
"2226",0.388130705068167
"2227",0.345221782899827
"2228",0.401783543939912
"2229",0.362775432877784
"2230",0.347172188452933
"2231",0
"2232",0
"2233",0.662980179482144
"2234",0
"2235",3.15851621195099
"2236",0
"2237",0
"2238",0
"2239",0
"2240",0
"2241",0
"2242",0
"2243",1.6081048072732
"2244",0.398857935610252
"2245",0
"2246",0
"2247",0
"2248",0
"2249",4.54987559919977
"2250",0.400808341163359
"2251",0
"2252",5.75628084418439
"2253",27.6727642943865
"2254",5.96627392219112
"2255",2.95765985971974
"2256",0.948674611230389
"2257",3.78583109015699
"2258",13.1276555089205
"2259",4.12331996552494
"2260",0.12426195900398
"2261",0.323659056010368
"2262",0.646191934895699
"2263",1.8842365325219
"2264",0.626505083832569
"2265",12.3679746678962
"2266",0.152196818004875
"2267",0.169535696005431
"2268",4.15706885306173
"2269",13.4797027279318
"2270",1.95692644413961
"2271",3.06188436534808
"2272",0.18013167700577
"2273",5.38724889092257
"2274",1.86000656198266
"2275",6.85936213041972
"2276",0.153160089004906
"2277",0.321732514010306
"2278",0.0616493440019748
"2279",0.277422048008887
"2280",6.47349984958236
"2281",11.8758033913179
"2282",4.32184283338844
"2283",4.0673286163033
"2284",0.431538102441086
"2285",0.414567502906886
"2286",0
"2287",0.447296516294271
"2288",9.0367444249054
"2289",0
"2290",0.379414118157471
"2291",0
"2292",0
"2293",0.3903237892866
"2294",0.448508701975286
"2295",1.91131377253928
"2296",15.7314130113498
"2297",0.461842744466443
"2298",0
"2299",0
"2300",18.8882772815646
"2301",0.380626303838486
"2302",2.36103466019558
"2303",13.7580579118719
"2304",0
"2305",0
"2306",0
"2307",13.9507954351532
"2308",0
"2309",0
"2310",0
"2311",0
"2312",0
"2313",0
"2314",0
"2315",0.280755895237441
"2316",0
"2317",2.05681218349194
"2318",0.31839346090333
"2319",0.254307876120871
"2320",0
"2321",0.350669618169121
"2322",36.2615506260593
"2323",10.3389734675576
"2324",11.7050435735021
"2325",4.92286194737416
"2326",14.4853526889859
"2327",4.22485074437519
"2328",0
