"","ref_etp_proj"
"258",4.41855001077056
"259",3.11661632359028
"260",5.32907407730818
"261",5.33123031817377
"262",3.26013582851738
"263",4.49526883009821
"264",5.13209427124821
"265",5.66245803702623
"266",6.0091356318444
"267",6.34907262353227
"268",6.02038332074881
"269",5.43597522191703
"270",2.70003080368042
"271",2.46516577526927
"272",5.03544348711148
"273",5.1807920858264
"274",5.52719630650245
"275",5.63183987140656
"276",5.29543935740367
"277",4.15549699869007
"278",4.5397029761225
"279",4.33087133616209
"280",3.94702635519207
"281",3.12189374747686
"282",4.95873733609915
"283",5.05979806857067
"284",4.82138526625931
"285",5.48894636705518
"286",5.49576380848885
"287",4.98030988499522
"288",5.00186778558418
"289",4.61086655594409
"290",5.56891874223948
"291",6.18518010154366
"292",4.48731353878975
"293",5.75007934495807
"294",4.38958010496572
"295",2.57853787112981
"296",4.3468219935894
"297",3.85810378007591
"298",4.2115051264409
"299",4.0081576090306
"300",3.75038231350482
"301",2.67615646217018
"302",2.17491016536951
"303",5.41287184180692
"304",4.07352905720472
"305",1.76813231408596
"306",3.09072167612612
"307",2.92429167823866
"308",3.39314134907909
"309",4.46112795174122
"310",3.06736328930128
"311",2.47649169759825
"312",3.73632272332907
"313",3.88243065029383
"314",2.97280886303633
"315",2.9424614161253
"316",2.81155829317868
"317",2.54887352511287
"318",2.68050905317068
"319",3.08643752336502
"320",3.45048125088215
"321",3.44516211003065
"322",3.26832196116447
"323",2.28511691605672
"324",1.90401708893478
"325",1.92309267539531
"326",2.01688601449132
"327",1.85487733595073
"328",1.7084599789232
"329",2.18400635384023
"330",3.02451509237289
"331",2.01529639214277
"332",1.61453931836877
"333",1.82064743654337
"334",1.52537441253662
"335",0.821044187061489
"336",2.06571774976328
"337",2.08885038178414
"338",1.86333372537047
"339",2.57581911451416
"340",2.37966748839244
"341",2.3135839831084
"342",2.10479220512207
"343",2.44929738156497
"344",2.62555099301971
"345",3.03749804198742
"346",2.37341730110347
"347",1.92173291370273
"348",1.77833885373548
"349",1.50370288267732
"350",3.86544156074524
"351",2.17406898364425
"352",2.35289660748094
"353",2.03264938294888
"354",1.25446214154363
"355",0.945290035568178
"356",-0.0406225584447384
"357",1.29660714790225
"358",1.90706130862236
"359",2.38536937534809
"360",2.3896442707628
"361",2.23262058198452
"362",1.94878274621442
"363",2.10283814929426
"364",1.69358422374353
"365",1.63900369452313
"366",0.893808875232935
"367",1.66600689664483
"368",2.0520793646574
"369",2.39369377214462
"370",3.28096591494977
"371",3.28333866409957
"372",3.90299858152866
"373",3.32046115398407
